similarity,combined_obs,id_a,name_a,years_a,obs_a,id_b,name_b,years_b,obs_b,country
85,12,U05693,Universidade Federal de Sergipe,2020-2025,9,U05705,Universidade Federal do Estado do Rio de Janeiro,2022-2024,3,Brazil
85,11,U00991,China Medical University (Shenyang),2017-2022,6,U07482,Zunyi Medical University,2024-2025,5,China
84,11,U01487,Federal University of Itajubá,2017-2024,8,U01505,Federal University of São João del-Rei,2024-2025,3,Brazil
84,11,U01487,Federal University of Itajubá,2017-2024,8,U01497,Federal University of Rio Grande,2024-2025,3,Brazil
83,11,U00991,China Medical University (Shenyang),2017-2022,6,U01835,Hainan Medical University,2024-2025,5,China
86,11,U01016,China University of Political Science and Law,2021-2026,7,U03313,Minzu University of China,2024-2025,4,China
85,11,U05981,University of Avignon,2024-2025,3,U06621,University of Savoy,2014-2025,8,France
86,11,U02674,KL University,2020-2025,6,U07191,Visva-Bharati University,2024-2025,5,India
83,10,U05405,Universidad Católica de Colombia,2020-2025,6,U05511,Universidad Pedagogica y Tecnologica de Colombia - UPTC,2022-2025,4,Colombia
100,10,U03768,Normandy University,2018-2021,4,U05312,UNIVERSITY OF CAEN NORMANDY,2014-2025,6,France
86,10,U05511,Universidad Pedagogica y Tecnologica de Colombia - UPTC,2022-2025,4,U05568,Universidad de Córdoba - Colombia,2011-2025,6,Colombia
97,10,U05610,Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército),2020-2024,5,U05611,Universidad de las Fuerzas Armadas – ESPE,2021-2025,5,Ecuador
83,10,U00902,Cha University,2024-2025,5,U07420,Youngsan University,2021-2025,5,South Korea
84,10,U06101,University of Colorado Colorado Springs,2021-2025,5,U06103,University of Colorado Health Science Center,2003-2007,5,United States
87,10,U01993,Hindustan Institute of Technology and Science,2023-2025,4,U04482,Sathyabama Institute of Science and Technology (Deemed to be University),2022-2026,6,India
86,10,U05276,Tula State University,2023-2025,3,U05334,Ufa State Aviation Technical University,2019-2023,7,Russia
88,9,U06282,University of Kansas Medical Center,2004-2010,5,U06413,University of Mississippi Medical Center,2014-2025,4,United States
89,9,U05401,Universidad Catlica de la Santsima Concepcin (UCSC),2022-2024,3,U05413,Universidad Católica de la Santísima Concepción,2023-2025,6,Chile
83,9,U00991,China Medical University (Shenyang),2017-2022,6,U02636,Jining Medical University,2025-2025,3,China
85,9,U00991,China Medical University (Shenyang),2017-2022,6,U07340,Xi'an Medical University,2025-2025,3,China
86,9,U02674,KL University,2020-2025,6,U06280,University of Kalyani,2025-2025,3,India
88,9,U05159,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),2019-2025,4,U06282,University of Kansas Medical Center,2004-2010,5,United States
89,9,U06103,University of Colorado Health Science Center,2003-2007,5,U06496,University of Oklahoma Health Sciences Center,2015-2025,4,United States
86,9,U02674,KL University,2020-2025,6,U02697,Kalinga Institute of Industrial Technology (KIIT) University,2025-2026,3,India
86,9,U02674,KL University,2020-2025,6,U06543,University of Petroleum & Energy Studies (UPES),2025-2025,3,India
86,9,U02674,KL University,2020-2025,6,U06034,University of Burdwan,2025-2025,3,India
86,9,U02554,Jain University,2025-2025,3,U02674,KL University,2020-2025,6,India
84,9,U02251,"Indian Institute of Science Education and Research, Mohali",2024-2025,5,U02279,Indian Institutes of Science Education and Research (IISERs),2018-2021,4,India
84,9,U04020,Penza State University,2022-2025,5,U04350,Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,2021-2024,4,Russia
87,9,U06717,University of Technology of Belfort-Montbéliard,2024-2025,3,U06719,University of Technology of Troyes,2020-2025,6,France
86,9,U00367,Ashoka University,2025-2025,3,U02674,KL University,2020-2025,6,India
87,9,U03357,Moscow City University,2021-2024,4,U03362,Moscow Polytechnic University,2021-2025,5,Russia
86,9,U02674,KL University,2020-2025,6,U04159,Punjab Agricultural University,2024-2025,3,India
86,8,U01118,Communication University of China,2022-2025,4,U03313,Minzu University of China,2024-2025,4,China
87,8,U03357,Moscow City University,2021-2024,4,U03367,Moscow State University of Civil Engineering,2021-2025,4,Russia
86,8,U01681,Georgia Health Sciences University,2010-2013,4,U06496,University of Oklahoma Health Sciences Center,2015-2025,4,United States
84,8,U06079,University of Central Oklahoma,2022-2025,4,U06496,University of Oklahoma Health Sciences Center,2015-2025,4,United States
82,8,U05159,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),2019-2025,4,U06413,University of Mississippi Medical Center,2014-2025,4,United States
88,8,U02357,"Institute of Cancer Research, University of London",2024-2025,5,U06809,University of West London,2023-2025,3,United Kingdom
86,8,U01681,Georgia Health Sciences University,2010-2013,4,U05078,Texas Tech University Health Sciences Center,2024-2025,4,United States
86,8,U03360,Moscow Pedagogical State University,2021-2025,5,U05276,Tula State University,2023-2025,3,Russia
93,7,U05323,UNIVERSITÉ MONTPELLIER 2 SCIENCES ET TECHNIQUES,2011-2014,3,U05866,Universite Montpellier II Sciences et Technique,2009-2012,4,France
83,7,U01712,Goa University,2023-2025,4,U04159,Punjab Agricultural University,2024-2025,3,India
83,7,U01712,Goa University,2023-2025,4,U02697,Kalinga Institute of Industrial Technology (KIIT) University,2025-2026,3,India
86,7,U01681,Georgia Health Sciences University,2010-2013,4,U04386,SUNY Downstate Health Sciences University,2025-2025,3,United States
87,7,U03357,Moscow City University,2021-2024,4,U03370,Moscow Technical University of Communications and Informatics,2024-2025,3,Russia
86,7,U04350,Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,2021-2024,4,U05276,Tula State University,2023-2025,3,Russia
88,7,U00726,COMSATS INSTITUTE OF INFORMATION TECHNOLOGY,2019-2021,3,U02377,Institute of Space Technology,2023-2025,4,Pakistan
83,6,U01167,DIT University,2024-2025,3,U04159,Punjab Agricultural University,2024-2025,3,India
83,6,U01167,DIT University,2024-2025,3,U02697,Kalinga Institute of Industrial Technology (KIIT) University,2025-2026,3,India
86,6,U05276,Tula State University,2023-2025,3,U07434,Yuri Gagarin State Technical University of Saratov (SSTU),2021-2025,3,Russia
82,6,U02686,Kafkas University,2024-2025,3,U05260,Trakya University,2024-2025,3,Turkey
